country,province,citycode,city,district,location,long,lat,date,address
中国,上海市,021,上海市,浦东新区,"121.646628,31.285066",121.646628,31.285066,2022-04-10,上海市浦东新区安基村朱家宅
中国,上海市,021,上海市,浦东新区,"121.715706,31.153034",121.715706,31.153034,2022-04-10,上海市浦东新区八灶村郭家宅
中国,上海市,021,上海市,浦东新区,"121.715706,31.153034",121.715706,31.153034,2022-04-10,上海市浦东新区八灶村倪家宅
中国,上海市,021,上海市,浦东新区,"121.715706,31.153034",121.715706,31.153034,2022-04-10,上海市浦东新区八灶村赵家宅
中国,上海市,021,上海市,浦东新区,"121.555605,31.208224",121.555605,31.208224,2022-04-10,上海市浦东新区白杨路199弄
中国,上海市,021,上海市,浦东新区,"121.540371,31.116647",121.540371,31.116647,2022-04-10,上海市浦东新区百曲村
中国,上海市,021,上海市,浦东新区,"121.527641,31.178665",121.527641,31.178665,2022-04-10,上海市浦东新区板泉路1821号工地生活区
中国,上海市,021,上海市,浦东新区,"121.532012,31.165295",121.532012,31.165295,2022-04-10,上海市浦东新区板泉路2000弄
中国,上海市,021,上海市,浦东新区,"121.531904,31.167150",121.531904,31.167150,2022-04-10,上海市浦东新区板泉路2101弄
中国,上海市,021,上海市,浦东新区,"121.509134,31.163729",121.509134,31.163729,2022-04-10,上海市浦东新区板泉路25号
中国,上海市,021,上海市,浦东新区,"121.500051,31.161237",121.500051,31.161237,2022-04-10,上海市浦东新区板泉路951号
中国,上海市,021,上海市,浦东新区,"121.535597,31.180383",121.535597,31.180383,2022-04-10,上海市浦东新区北艾路1077弄
中国,上海市,021,上海市,浦东新区,"121.533919,31.182783",121.533919,31.182783,2022-04-10,上海市浦东新区北艾路1200弄
中国,上海市,021,上海市,浦东新区,"121.542909,31.185863",121.542909,31.185863,2022-04-10,上海市浦东新区北艾路155弄
中国,上海市,021,上海市,浦东新区,"121.524025,31.180639",121.524025,31.180639,2022-04-10,上海市浦东新区北艾路1660弄
中国,上海市,021,上海市,浦东新区,"121.521767,31.178552",121.521767,31.178552,2022-04-10,上海市浦东新区北艾路1765弄
中国,上海市,021,上海市,浦东新区,"121.545023,31.186102",121.545023,31.186102,2022-04-10,上海市浦东新区北艾路73弄
中国,上海市,021,上海市,浦东新区,"121.554896,31.187466",121.554896,31.187466,2022-04-10,上海市浦东新区北蔡大街31弄
中国,上海市,021,上海市,浦东新区,"121.702533,31.199499",121.702533,31.199499,2022-04-10,上海市浦东新区北市街308弄
中国,上海市,021,上海市,浦东新区,"121.853784,30.925768",121.853784,30.925768,2022-04-10,上海市浦东新区北窑村
中国,上海市,021,上海市,浦东新区,"121.578937,31.117217",121.578937,31.117217,2022-04-10,上海市浦东新区北油车弄
中国,上海市,021,上海市,浦东新区,"121.552558,31.182598",121.552558,31.182598,2022-04-10,上海市浦东新区北中路10弄
中国,上海市,021,上海市,浦东新区,"121.556848,31.183063",121.556848,31.183063,2022-04-10,上海市浦东新区北中路278弄
中国,上海市,021,上海市,浦东新区,"121.571415,31.194856",121.571415,31.194856,2022-04-10,上海市浦东新区泵站路358号
中国,上海市,021,上海市,浦东新区,"121.756361,31.143456",121.756361,31.143456,2022-04-10,上海市浦东新区滨海一村傅家宅
中国,上海市,021,上海市,浦东新区,"121.763152,31.151386",121.763152,31.151386,2022-04-10,上海市浦东新区滨海一村朱家宅
中国,上海市,021,上海市,浦东新区,"121.483879,31.148113",121.483879,31.148113,2022-04-10,上海市浦东新区博成路903号工地生活区
中国,上海市,021,上海市,浦东新区,"121.551217,31.170730",121.551217,31.170730,2022-04-10,上海市浦东新区博华路1018弄
中国,上海市,021,上海市,浦东新区,"121.548427,31.179239",121.548427,31.179239,2022-04-10,上海市浦东新区博华路300弄
中国,上海市,021,上海市,浦东新区,"121.549218,31.171144",121.549218,31.171144,2022-04-10,上海市浦东新区博华路999弄
中国,上海市,021,上海市,浦东新区,"121.563302,31.251234",121.563302,31.251234,2022-04-10,上海市浦东新区博山东路111弄
中国,上海市,021,上海市,浦东新区,"121.560013,31.245715",121.560013,31.245715,2022-04-10,上海市浦东新区博山东路20弄
中国,上海市,021,上海市,浦东新区,"121.559620,31.247532",121.559620,31.247532,2022-04-10,上海市浦东新区博山东路41弄
中国,上海市,021,上海市,浦东新区,"121.567987,31.251915",121.567987,31.251915,2022-04-10,上海市浦东新区博山东路440弄
中国,上海市,021,上海市,浦东新区,"121.551855,31.244528",121.551855,31.244528,2022-04-10,上海市浦东新区博山路200弄
中国,上海市,021,上海市,浦东新区,"121.557061,31.245301",121.557061,31.245301,2022-04-10,上海市浦东新区博山路51弄
中国,上海市,021,上海市,浦东新区,"121.555579,31.245707",121.555579,31.245707,2022-04-10,上海市浦东新区博山路78弄
中国,上海市,021,上海市,浦东新区,"121.597831,31.268886",121.597831,31.268886,2022-04-10,上海市浦东新区博兴路1383弄
中国,上海市,021,上海市,浦东新区,"121.601621,31.273722",121.601621,31.273722,2022-04-10,上海市浦东新区博兴路1622号
中国,上海市,021,上海市,浦东新区,"121.600769,31.274186",121.600769,31.274186,2022-04-10,上海市浦东新区博兴路1663弄
中国,上海市,021,上海市,浦东新区,"121.581986,31.269119",121.581986,31.269119,2022-04-10,上海市浦东新区博兴路341弄
中国,上海市,021,上海市,浦东新区,"121.581597,31.265408",121.581597,31.265408,2022-04-10,上海市浦东新区博兴路462弄
