country,province,citycode,city,district,location,long,lat,date,address
中国,上海市,021,上海市,浦东新区,"121.716279,31.160190",121.716279,31.160190,2022-04-08,上海市八灶村康家宅
中国,上海市,021,上海市,浦东新区,"121.500893,31.189446",121.500893,31.189446,2022-04-08,上海市白莲泾路国展路交界口工地生活区
中国,上海市,021,上海市,奉贤区,"121.526077,30.962523",121.526077,30.962523,2022-04-08,上海市百曲村
中国,上海市,021,上海市,浦东新区,"121.505791,31.161574",121.505791,31.161574,2022-04-08,上海市板泉路1201弄
中国,上海市,021,上海市,浦东新区,"121.510584,31.164532",121.510584,31.164532,2022-04-08,上海市板泉路1555弄
中国,上海市,021,上海市,浦东新区,"121.532012,31.165295",121.532012,31.165295,2022-04-08,上海市板泉路2000弄
中国,上海市,021,上海市,浦东新区,"121.531904,31.167150",121.531904,31.167150,2022-04-08,上海市板泉路2101弄
中国,上海市,021,上海市,浦东新区,"121.509134,31.163729",121.509134,31.163729,2022-04-08,上海市板泉路25号
中国,上海市,021,上海市,浦东新区,"121.535182,31.183324",121.535182,31.183324,2022-04-08,上海市北艾路1128弄
中国,上海市,021,上海市,浦东新区,"121.533919,31.182783",121.533919,31.182783,2022-04-08,上海市北艾路1200弄
中国,上海市,021,上海市,浦东新区,"121.533584,31.182401",121.533584,31.182401,2022-04-08,上海市北艾路1643弄
中国,上海市,021,上海市,浦东新区,"121.521767,31.178552",121.521767,31.178552,2022-04-08,上海市北艾路1765弄
中国,上海市,021,上海市,浦东新区,"121.545023,31.186102",121.545023,31.186102,2022-04-08,上海市北艾路73弄
中国,上海市,021,上海市,浦东新区,"121.609684,31.181050",121.609684,31.181050,2022-04-08,上海市北蔡村丁家宅
中国,上海市,021,上海市,浦东新区,"121.554896,31.187466",121.554896,31.187466,2022-04-08,上海市北蔡大街31弄
中国,上海市,021,上海市,浦东新区,"121.609684,31.181050",121.609684,31.181050,2022-04-08,上海市北蔡镇丁家宅
中国,上海市,021,上海市,浦东新区,"121.564715,31.188834",121.564715,31.188834,2022-04-08,上海市北蔡镇陆家队陆家宅
中国,上海市,021,上海市,浦东新区,"121.554907,31.181773",121.554907,31.181773,2022-04-08,上海市北蔡镇朱家宅
中国,上海市,021,上海市,长宁区,"121.394627,31.206055",121.394627,31.206055,2022-04-08,上海市北街415弄
中国,上海市,021,上海市,嘉定区,"121.258821,31.466924",121.258821,31.466924,2022-04-08,上海市北新村
中国,上海市,021,上海市,浦东新区,"121.524332,31.202080",121.524332,31.202080,2022-04-08,上海市北园路258弄
中国,上海市,021,上海市,浦东新区,"121.526503,31.216658",121.526503,31.216658,2022-04-08,上海市北张家浜路188弄
中国,上海市,021,上海市,浦东新区,"121.520914,31.215884",121.520914,31.215884,2022-04-08,上海市北张家浜路58号
中国,上海市,021,上海市,浦东新区,"121.556848,31.183063",121.556848,31.183063,2022-04-08,上海市北中路278弄
中国,上海市,021,上海市,浦东新区,"121.556579,31.183343",121.556579,31.183343,2022-04-08,上海市北中路280弄
中国,上海市,021,上海市,浦东新区,"121.665944,31.102675",121.665944,31.102675,2022-04-08,上海市窑港村
中国,上海市,021,上海市,浦东新区,"121.576989,31.236905",121.576989,31.236905,2022-04-08,上海市碧云路333弄
中国,上海市,021,上海市,浦东新区,"121.550054,31.175362",121.550054,31.175362,2022-04-08,上海市博华路930弄
中国,上海市,021,上海市,浦东新区,"121.550815,31.170548",121.550815,31.170548,2022-04-08,上海市博华路999弄
中国,上海市,021,上海市,浦东新区,"121.551324,31.168450",121.551324,31.168450,2022-04-08,上海市博华路杨莲路交界口工地生活区
中国,上海市,021,上海市,浦东新区,"121.564289,31.251951",121.564289,31.251951,2022-04-08,上海市博山东路173弄
中国,上海市,021,上海市,浦东新区,"121.560013,31.245715",121.560013,31.245715,2022-04-08,上海市博山东路20弄
中国,上海市,021,上海市,浦东新区,"121.559620,31.247532",121.559620,31.247532,2022-04-08,上海市博山东路41弄
中国,上海市,021,上海市,浦东新区,"121.567987,31.251915",121.567987,31.251915,2022-04-08,上海市博山东路440弄
中国,上海市,021,上海市,浦东新区,"121.568510,31.253144",121.568510,31.253144,2022-04-08,上海市博山东路459弄
中国,上海市,021,上海市,浦东新区,"121.575880,31.259374",121.575880,31.259374,2022-04-08,上海市博山东路811弄
中国,上海市,021,上海市,浦东新区,"121.555941,31.246540",121.555941,31.246540,2022-04-08,上海市博山路12弄
中国,上海市,021,上海市,浦东新区,"121.555247,31.244982",121.555247,31.244982,2022-04-08,上海市博山路78弄
中国,上海市,021,上海市,浦东新区,"121.603621,31.276550",121.603621,31.276550,2022-04-08,上海市博兴路1676弄
中国,上海市,021,上海市,浦东新区,"121.578757,31.269007",121.578757,31.269007,2022-04-08,上海市博兴路250弄
中国,上海市,021,上海市,浦东新区,"121.581347,31.267737",121.581347,31.267737,2022-04-08,上海市博兴路341号
中国,上海市,021,上海市,浦东新区,"121.581597,31.265408",121.581597,31.265408,2022-04-08,上海市博兴路462弄
中国,上海市,021,上海市,浦东新区,"121.583688,31.267381",121.583688,31.267381,2022-04-08,上海市博兴路465弄
中国,上海市,021,上海市,浦东新区,"121.584480,31.263629",121.584480,31.263629,2022-04-08,上海市博兴路616弄
中国,上海市,021,上海市,浦东新区,"121.591010,31.266876",121.591010,31.266876,2022-04-08,上海市博兴路799弄
中国,上海市,021,上海市,浦东新区,"121.546855,31.232065",121.546855,31.232065,2022-04-08,上海市蔡路村北丁家宅
中国,上海市,021,上海市,浦东新区,"121.798289,31.078007",121.798289,31.078007,2022-04-08,上海市蔡路村蔡家宅
