,country,province,citycode,city,district,location,long,lat,date,address
0,中国,上海市,021,上海市,浦东新区,"121.568585,31.342882",121.568585,31.342882,2022-04-09,上海市八灶村顾家宅
1,中国,上海市,021,上海市,浦东新区,"121.548341,31.166473",121.548341,31.166473,2022-04-09,上海市八灶村张家宅
2,中国,上海市,021,上海市,奉贤区,"121.540789,30.951220",121.540789,30.951220,2022-04-09,上海市八灶村赵家宅
3,中国,上海市,021,上海市,浦东新区,"121.576675,31.234985",121.576675,31.234985,2022-04-09,上海市白桦路266弄
4,中国,上海市,021,上海市,浦东新区,"121.555605,31.208224",121.555605,31.208224,2022-04-09,上海市白杨路199弄
5,中国,上海市,021,上海市,浦东新区,"121.616580,31.141322",121.616580,31.141322,2022-04-09,上海市百龙新村
6,中国,上海市,021,上海市,奉贤区,"121.526077,30.962523",121.526077,30.962523,2022-04-09,上海市百曲村
7,中国,上海市,021,上海市,浦东新区,"121.505791,31.161574",121.505791,31.161574,2022-04-09,上海市板泉路1201弄
8,中国,上海市,021,上海市,浦东新区,"121.510584,31.164532",121.510584,31.164532,2022-04-09,上海市板泉路1555弄
9,中国,上海市,021,上海市,浦东新区,"121.532012,31.165295",121.532012,31.165295,2022-04-09,上海市板泉路2000弄
10,中国,上海市,021,上海市,浦东新区,"121.531904,31.167150",121.531904,31.167150,2022-04-09,上海市板泉路2101弄
11,中国,上海市,021,上海市,浦东新区,"121.489355,31.156278",121.489355,31.156278,2022-04-09,上海市板泉路95弄
12,中国,上海市,021,上海市,浦东新区,"121.534223,31.182488",121.534223,31.182488,2022-04-09,上海市北艾路1077弄
13,中国,上海市,021,上海市,浦东新区,"121.533919,31.182783",121.533919,31.182783,2022-04-09,上海市北艾路1200弄
14,中国,上海市,021,上海市,浦东新区,"121.524025,31.180639",121.524025,31.180639,2022-04-09,上海市北艾路1660弄
15,中国,上海市,021,上海市,浦东新区,"121.521767,31.178552",121.521767,31.178552,2022-04-09,上海市北艾路1765弄
16,中国,上海市,021,上海市,浦东新区,"121.545023,31.186102",121.545023,31.186102,2022-04-09,上海市北艾路73弄
17,中国,上海市,021,上海市,浦东新区,"121.536454,31.185412",121.536454,31.185412,2022-04-09,上海市北艾路862弄
18,中国,上海市,021,上海市,浦东新区,"121.565209,31.176723",121.565209,31.176723,2022-04-09,上海市北蔡镇陈家宅
19,中国,上海市,021,上海市,浦东新区,"121.570910,31.182043",121.570910,31.182043,2022-04-09,上海市北蔡镇黄家宅
20,中国,上海市,021,上海市,浦东新区,"121.554907,31.181773",121.554907,31.181773,2022-04-09,上海市北蔡镇刘家宅
21,中国,上海市,021,上海市,浦东新区,"121.554907,31.181773",121.554907,31.181773,2022-04-09,上海市北蔡镇吴家宅
22,中国,上海市,021,上海市,浦东新区,"121.576303,31.184603",121.576303,31.184603,2022-04-09,上海市北蔡镇姚家宅
23,中国,上海市,021,上海市,浦东新区,"121.548341,31.166473",121.548341,31.166473,2022-04-09,上海市北蔡镇张家宅
24,中国,上海市,021,上海市,嘉定区,"121.194587,31.365214",121.194587,31.365214,2022-04-09,上海市北沈家宅
25,中国,上海市,021,上海市,嘉定区,"121.258821,31.466924",121.258821,31.466924,2022-04-09,上海市北新村
26,中国,上海市,021,上海市,浦东新区,"121.624973,31.322113",121.624973,31.322113,2022-04-09,上海市北新园路350弄
27,中国,上海市,021,上海市,浦东新区,"121.627456,31.319923",121.627456,31.319923,2022-04-09,上海市北新园路460弄
28,中国,上海市,021,上海市,浦东新区,"121.524332,31.202080",121.524332,31.202080,2022-04-09,上海市北园路258弄
29,中国,上海市,021,上海市,浦东新区,"121.526503,31.216658",121.526503,31.216658,2022-04-09,上海市北张家浜路188弄
30,中国,上海市,021,上海市,浦东新区,"121.556848,31.183063",121.556848,31.183063,2022-04-09,上海市北中路278弄
31,中国,上海市,021,上海市,浦东新区,"121.556579,31.183343",121.556579,31.183343,2022-04-09,上海市北中路280弄
32,中国,上海市,021,上海市,浦东新区,"121.560231,31.184252",121.560231,31.184252,2022-04-09,上海市北中路383弄
33,中国,上海市,021,上海市,浦东新区,"121.561905,31.184000",121.561905,31.184000,2022-04-09,上海市北中路480弄
34,中国,上海市,021,上海市,浦东新区,"121.587463,31.184849",121.587463,31.184849,2022-04-09,上海市毕升路299弄
35,中国,上海市,021,上海市,浦东新区,"121.575469,31.236539",121.575469,31.236539,2022-04-09,上海市碧云路199弄
36,中国,上海市,021,上海市,嘉定区,"121.284074,31.448882",121.284074,31.448882,2022-04-09,上海市滨海一村西王家宅
