,country,province,citycode,city,district,location,long,lat,date,address
2,中国,上海市,021,上海市,浦东新区,"121.544379,31.221517",121.544379,31.221517,2022-04-02,上海市浦东新区
4,中国,上海市,021,上海市,浦东新区,"121.705554,31.140287",121.705554,31.140287,2022-04-02,上海市八灶村北张家宅
5,中国,上海市,021,上海市,浦东新区,"121.532012,31.165295",121.532012,31.165295,2022-04-02,上海市板泉路2000弄
6,中国,上海市,021,上海市,浦东新区,"121.494644,31.158141",121.494644,31.158141,2022-04-02,上海市板泉路50号
7,中国,上海市,021,上海市,浦东新区,"121.534223,31.182488",121.534223,31.182488,2022-04-02,上海市北艾路1077弄
8,中国,上海市,021,上海市,浦东新区,"121.542909,31.185863",121.542909,31.185863,2022-04-02,上海市北艾路155弄
9,中国,上海市,021,上海市,浦东新区,"121.521767,31.178552",121.521767,31.178552,2022-04-02,上海市北艾路1765弄
10,中国,上海市,021,上海市,浦东新区,"121.554907,31.181773",121.554907,31.181773,2022-04-02,上海市北蔡秦家宅
11,中国,上海市,021,上海市,浦东新区,"121.627456,31.319923",121.627456,31.319923,2022-04-02,上海市北新园路460弄
12,中国,上海市,021,上海市,浦东新区,"121.524332,31.202080",121.524332,31.202080,2022-04-02,上海市北园路258弄
13,中国,上海市,021,上海市,浦东新区,"121.523867,31.216110",121.523867,31.216110,2022-04-02,上海市北张家浜路170弄
14,中国,上海市,021,上海市,浦东新区,"121.526503,31.216658",121.526503,31.216658,2022-04-02,上海市北张家浜路188弄
15,中国,上海市,021,上海市,浦东新区,"121.657244,31.093989",121.657244,31.093989,2022-04-02,上海市北庄村
16,中国,上海市,021,上海市,浦东新区,"121.574044,31.235155",121.574044,31.235155,2022-04-02,上海市碧云路86弄
17,中国,上海市,021,上海市,浦东新区,"121.551099,31.170366",121.551099,31.170366,2022-04-02,上海市博华路1018弄
18,中国,上海市,021,上海市,浦东新区,"121.550815,31.170548",121.550815,31.170548,2022-04-02,上海市博华路999弄
19,中国,上海市,021,上海市,浦东新区,"121.546717,31.184894",121.546717,31.184894,2022-04-02,上海市博华路莲园路交界口工地生活区
20,中国,上海市,021,上海市,浦东新区,"121.563302,31.251234",121.563302,31.251234,2022-04-02,上海市博山东路111弄
21,中国,上海市,021,上海市,浦东新区,"121.565109,31.248225",121.565109,31.248225,2022-04-02,上海市博山东路136弄
22,中国,上海市,021,上海市,浦东新区,"121.559620,31.247532",121.559620,31.247532,2022-04-02,上海市博山东路41弄
23,中国,上海市,021,上海市,浦东新区,"121.567987,31.251915",121.567987,31.251915,2022-04-02,上海市博山东路440弄
24,中国,上海市,021,上海市,浦东新区,"121.568510,31.253144",121.568510,31.253144,2022-04-02,上海市博山东路459弄
25,中国,上海市,021,上海市,浦东新区,"121.572168,31.255416",121.572168,31.255416,2022-04-02,上海市博山东路555弄
26,中国,上海市,021,上海市,浦东新区,"121.575880,31.259374",121.575880,31.259374,2022-04-02,上海市博山东路811弄
27,中国,上海市,021,上海市,浦东新区,"121.559066,31.248881",121.559066,31.248881,2022-04-02,上海市博山东路81弄
28,中国,上海市,021,上海市,浦东新区,"121.551855,31.244528",121.551855,31.244528,2022-04-02,上海市博山路200弄
29,中国,上海市,021,上海市,浦东新区,"121.557138,31.246021",121.557138,31.246021,2022-04-02,上海市博山路50弄
30,中国,上海市,021,上海市,浦东新区,"121.593863,31.268493",121.593863,31.268493,2022-04-02,上海市博兴路1185弄
31,中国,上海市,021,上海市,浦东新区,"121.603621,31.276550",121.603621,31.276550,2022-04-02,上海市博兴路1676弄
32,中国,上海市,021,上海市,浦东新区,"121.578757,31.269007",121.578757,31.269007,2022-04-02,上海市博兴路250弄
33,中国,上海市,021,上海市,浦东新区,"121.583688,31.267381",121.583688,31.267381,2022-04-02,上海市博兴路465弄
34,中国,上海市,021,上海市,浦东新区,"121.584480,31.263629",121.584480,31.263629,2022-04-02,上海市博兴路616弄
35,中国,上海市,021,上海市,浦东新区,"121.591557,31.264613",121.591557,31.264613,2022-04-02,上海市博兴路986弄
36,中国,上海市,021,上海市,浦东新区,"121.508756,31.174396",121.508756,31.174396,2022-04-02,上海市昌里东路190弄
37,中国,上海市,021,上海市,浦东新区,"121.510473,31.177139",121.510473,31.177139,2022-04-02,上海市昌里东路333弄
38,中国,上海市,021,上海市,浦东新区,"121.514818,31.178347",121.514818,31.178347,2022-04-02,上海市昌里东路500弄
39,中国,上海市,021,上海市,浦东新区,"121.504910,31.177314",121.504910,31.177314,2022-04-02,上海市昌里东路71弄
40,中国,上海市,021,上海市,浦东新区,"121.497353,31.175648",121.497353,31.175648,2022-04-02,上海市昌里路167弄
41,中国,上海市,021,上海市,浦东新区,"121.491933,31.173465",121.491933,31.173465,2022-04-02,上海市昌里路340弄
42,中国,上海市,021,上海市,浦东新区,"121.835936,31.097051",121.835936,31.097051,2022-04-02,上海市朝农新村
43,中国,上海市,021,上海市,奉贤区,"121.510387,30.903094",121.510387,30.903094,2022-04-02,上海市朝阳新村
44,中国,上海市,021,上海市,浦东新区,"121.596555,31.076109",121.596555,31.076109,2022-04-02,上海市沉香村
45,中国,上海市,021,上海市,浦东新区,"121.559845,31.174806",121.559845,31.174806,2022-04-02,上海市陈春东路88弄
46,中国,上海市,021,上海市,浦东新区,"121.559063,31.176058",121.559063,31.176058,2022-04-02,上海市陈春东路99弄
47,中国,上海市,021,上海市,浦东新区,"121.546478,31.173033",121.546478,31.173033,2022-04-02,上海市陈春路620弄
48,中国,上海市,021,上海市,浦东新区,"121.691094,31.144600",121.691094,31.144600,2022-04-02,上海市陈桥村
49,中国,上海市,021,上海市,浦东新区,"121.502996,31.170680",121.502996,31.170680,2022-04-02,上海市成山路300弄
50,中国,上海市,021,上海市,浦东新区,"121.513213,31.170490",121.513213,31.170490,2022-04-02,上海市成山路668弄
51,中国,上海市,021,上海市,浦东新区,"121.686216,31.188996",121.686216,31.188996,2022-04-02,上海市城丰路245弄
52,中国,上海市,021,上海市,浦东新区,"121.688450,31.191991",121.688450,31.191991,2022-04-02,上海市城丰路70弄
53,中国,上海市,021,上海市,浦东新区,"121.698246,31.191239",121.698246,31.191239,2022-04-02,上海市城南路303弄
54,中国,上海市,021,上海市,浦东新区,"121.698246,31.191239",121.698246,31.191239,2022-04-02,上海市城南路497弄
55,中国,上海市,021,上海市,浦东新区,"121.696960,31.191670",121.696960,31.191670,2022-04-02,上海市城南路550弄
56,中国,上海市,021,上海市,浦东新区,"121.610040,31.182263",121.610040,31.182263,2022-04-02,上海市川和路333弄
57,中国,上海市,021,上海市,浦东新区,"121.695089,31.195261",121.695089,31.195261,2022-04-02,上海市川沙路4850弄
58,中国,上海市,021,上海市,浦东新区,"121.688225,31.192638",121.688225,31.192638,2022-04-02,上海市川银路150弄
