address,date,json,country,province,citycode,city,district,location,long,lat
上海市北园路258弄,2022-04-05,"{'status': '1', 'info': 'OK', 'infocode': '10000', 'count': '1', 'geocodes': [{'formatted_address': '上海市浦东新区北园路258弄', 'country': '中国', 'province': '上海市', 'citycode': '021', 'city': '上海市', 'district': '浦东新区', 'township': [], 'neighborhood': {'name': [], 'type': []}, 'building': {'name': [], 'type': []}, 'adcode': '310115', 'street': [], 'number': [], 'location': '121.524332,31.202080', 'level': '道路'}]}",中国,上海市,021,上海市,浦东新区,"121.524332,31.202080",121.524332,31.202080
上海市北张家浜路188弄,2022-04-05,"{'status': '1', 'info': 'OK', 'infocode': '10000', 'count': '1', 'geocodes': [{'formatted_address': '上海市浦东新区北张家浜路188弄', 'country': '中国', 'province': '上海市', 'citycode': '021', 'city': '上海市', 'district': '浦东新区', 'township': [], 'neighborhood': {'name': [], 'type': []}, 'building': {'name': [], 'type': []}, 'adcode': '310115', 'street': [], 'number': [], 'location': '121.526503,31.216658', 'level': '道路'}]}",中国,上海市,021,上海市,浦东新区,"121.526503,31.216658",121.526503,31.216658
上海市北张家浜路28弄,2022-04-05,"{'status': '1', 'info': 'OK', 'infocode': '10000', 'count': '1', 'geocodes': [{'formatted_address': '上海市浦东新区北张家浜路28弄', 'country': '中国', 'province': '上海市', 'citycode': '021', 'city': '上海市', 'district': '浦东新区', 'township': [], 'neighborhood': {'name': [], 'type': []}, 'building': {'name': [], 'type': []}, 'adcode': '310115', 'street': [], 'number': [], 'location': '121.519532,31.215913', 'level': '道路'}]}",中国,上海市,021,上海市,浦东新区,"121.519532,31.215913",121.519532,31.215913
上海市北张家浜路98弄,2022-04-05,"{'status': '1', 'info': 'OK', 'infocode': '10000', 'count': '1', 'geocodes': [{'formatted_address': '上海市浦东新区北张家浜路98弄', 'country': '中国', 'province': '上海市', 'citycode': '021', 'city': '上海市', 'district': '浦东新区', 'township': [], 'neighborhood': {'name': [], 'type': []}, 'building': {'name': [], 'type': []}, 'adcode': '310115', 'street': [], 'number': [], 'location': '121.522459,31.216543', 'level': '道路'}]}",中国,上海市,021,上海市,浦东新区,"121.522459,31.216543",121.522459,31.216543
上海市北中路280弄,2022-04-05,"{'status': '1', 'info': 'OK', 'infocode': '10000', 'count': '1', 'geocodes': [{'formatted_address': '上海市浦东新区北中路280弄', 'country': '中国', 'province': '上海市', 'citycode': '021', 'city': '上海市', 'district': '浦东新区', 'township': [], 'neighborhood': {'name': [], 'type': []}, 'building': {'name': [], 'type': []}, 'adcode': '310115', 'street': [], 'number': [], 'location': '121.556579,31.183343', 'level': '道路'}]}",中国,上海市,021,上海市,浦东新区,"121.556579,31.183343",121.556579,31.183343
上海市北中路383弄,2022-04-05,"{'status': '1', 'info': 'OK', 'infocode': '10000', 'count': '1', 'geocodes': [{'formatted_address': '上海市浦东新区北中路383弄', 'country': '中国', 'province': '上海市', 'citycode': '021', 'city': '上海市', 'district': '浦东新区', 'township': [], 'neighborhood': {'name': [], 'type': []}, 'building': {'name': [], 'type': []}, 'adcode': '310115', 'street': [], 'number': [], 'location': '121.560231,31.184252', 'level': '道路'}]}",中国,上海市,021,上海市,浦东新区,"121.560231,31.184252",121.560231,31.184252
上海市北中路480弄,2022-04-05,"{'status': '1', 'info': 'OK', 'infocode': '10000', 'count': '1', 'geocodes': [{'formatted_address': '上海市浦东新区北中路480弄', 'country': '中国', 'province': '上海市', 'citycode': '021', 'city': '上海市', 'district': '浦东新区', 'township': [], 'neighborhood': {'name': [], 'type': []}, 'building': {'name': [], 'type': []}, 'adcode': '310115', 'street': [], 'number': [], 'location': '121.561905,31.184000', 'level': '道路'}]}",中国,上海市,021,上海市,浦东新区,"121.561905,31.184000",121.561905,31.184000
上海市碧云路1198号,2022-04-05,"{'status': '1', 'info': 'OK', 'infocode': '10000', 'count': '1', 'geocodes': [{'formatted_address': '上海市浦东新区碧云路|1198号', 'country': '中国', 'province': '上海市', 'citycode': '021', 'city': '上海市', 'district': '浦东新区', 'township': [], 'neighborhood': {'name': [], 'type': []}, 'building': {'name': [], 'type': []}, 'adcode': '310115', 'street': '碧云路', 'number': '1198号', 'location': '121.589456,31.242963', 'level': '门牌号'}]}",中国,上海市,021,上海市,浦东新区,"121.589456,31.242963",121.589456,31.242963
上海市碧云路333弄,2022-04-05,"{'status': '1', 'info': 'OK', 'infocode': '10000', 'count': '1', 'geocodes': [{'formatted_address': '上海市浦东新区碧云路333弄', 'country': '中国', 'province': '上海市', 'citycode': '021', 'city': '上海市', 'district': '浦东新区', 'township': [], 'neighborhood': {'name': [], 'type': []}, 'building': {'name': [], 'type': []}, 'adcode': '310115', 'street': [], 'number': [], 'location': '121.576989,31.236905', 'level': '道路'}]}",中国,上海市,021,上海市,浦东新区,"121.576989,31.236905",121.576989,31.236905
上海市碧云路86弄,2022-04-05,"{'status': '1', 'info': 'OK', 'infocode': '10000', 'count': '1', 'geocodes': [{'formatted_address': '上海市浦东新区碧云路86弄', 'country': '中国', 'province': '上海市', 'citycode': '021', 'city': '上海市', 'district': '浦东新区', 'township': [], 'neighborhood': {'name': [], 'type': []}, 'building': {'name': [], 'type': []}, 'adcode': '310115', 'street': [], 'number': [], 'location': '121.574044,31.235155', 'level': '道路'}]}",中国,上海市,021,上海市,浦东新区,"121.574044,31.235155",121.574044,31.235155
