,country,province,citycode,city,district,location,long,lat,date,address
3,中国,上海市,021,上海市,浦东新区,"121.544379,31.221517",121.544379,31.221517,2022-04-03,上海市浦东新区
5,中国,上海市,021,上海市,浦东新区,"121.507219,31.142679",121.507219,31.142679,2022-04-03,上海市艾东村薛家宅
6,中国,上海市,021,上海市,宝山区,"121.423823,31.320271",121.423823,31.320271,2022-04-03,上海市八灶村周家宅
7,中国,上海市,021,上海市,浦东新区,"121.505791,31.161574",121.505791,31.161574,2022-04-03,上海市板泉路1201弄
8,中国,上海市,021,上海市,浦东新区,"121.534223,31.182488",121.534223,31.182488,2022-04-03,上海市北艾路1077弄
9,中国,上海市,021,上海市,浦东新区,"121.527569,31.181611",121.527569,31.181611,2022-04-03,上海市北艾路1500弄
10,中国,上海市,021,上海市,浦东新区,"121.521767,31.178552",121.521767,31.178552,2022-04-03,上海市北艾路1765弄
11,中国,上海市,021,上海市,浦东新区,"121.554896,31.187466",121.554896,31.187466,2022-04-03,上海市北蔡大街31弄
12,中国,上海市,021,上海市,浦东新区,"121.524332,31.202080",121.524332,31.202080,2022-04-03,上海市北园路258弄
13,中国,上海市,021,上海市,浦东新区,"121.526503,31.216658",121.526503,31.216658,2022-04-03,上海市北张家浜路188弄
14,中国,上海市,021,上海市,浦东新区,"121.555195,31.183436",121.555195,31.183436,2022-04-03,上海市北中路175弄
15,中国,上海市,021,上海市,浦东新区,"121.556579,31.183343",121.556579,31.183343,2022-04-03,上海市北中路280弄
16,中国,上海市,021,上海市,浦东新区,"121.548427,31.179239",121.548427,31.179239,2022-04-03,上海市博华路300弄
17,中国,上海市,021,上海市,浦东新区,"121.550815,31.170548",121.550815,31.170548,2022-04-03,上海市博华路999弄
18,中国,上海市,021,上海市,浦东新区,"121.565109,31.248225",121.565109,31.248225,2022-04-03,上海市博山东路136弄
19,中国,上海市,021,上海市,浦东新区,"121.560013,31.245715",121.560013,31.245715,2022-04-03,上海市博山东路20弄
20,中国,上海市,021,上海市,浦东新区,"121.567987,31.251915",121.567987,31.251915,2022-04-03,上海市博山东路440弄
21,中国,上海市,021,上海市,浦东新区,"121.568510,31.253144",121.568510,31.253144,2022-04-03,上海市博山东路459弄
22,中国,上海市,021,上海市,浦东新区,"121.559066,31.248881",121.559066,31.248881,2022-04-03,上海市博山东路81弄
23,中国,上海市,021,上海市,浦东新区,"121.559010,31.244754",121.559010,31.244754,2022-04-03,上海市博山路11弄
24,中国,上海市,021,上海市,浦东新区,"121.558404,31.244351",121.558404,31.244351,2022-04-03,上海市博山路13弄
25,中国,上海市,021,上海市,浦东新区,"121.554692,31.244283",121.554692,31.244283,2022-04-03,上海市博山路199弄
26,中国,上海市,021,上海市,浦东新区,"121.557138,31.246021",121.557138,31.246021,2022-04-03,上海市博山路50弄
27,中国,上海市,021,上海市,浦东新区,"121.603621,31.276550",121.603621,31.276550,2022-04-03,上海市博兴路1676弄
28,中国,上海市,021,上海市,浦东新区,"121.578757,31.269007",121.578757,31.269007,2022-04-03,上海市博兴路250弄
29,中国,上海市,021,上海市,浦东新区,"121.581597,31.265408",121.581597,31.265408,2022-04-03,上海市博兴路462弄
30,中国,上海市,021,上海市,浦东新区,"121.583688,31.267381",121.583688,31.267381,2022-04-03,上海市博兴路465弄
31,中国,上海市,021,上海市,浦东新区,"121.585131,31.265759",121.585131,31.265759,2022-04-03,上海市博兴路467号
32,中国,上海市,021,上海市,浦东新区,"121.584480,31.263629",121.584480,31.263629,2022-04-03,上海市博兴路616弄
33,中国,上海市,021,上海市,浦东新区,"121.591010,31.266876",121.591010,31.266876,2022-04-03,上海市博兴路799弄
34,中国,上海市,021,上海市,浦东新区,"121.591590,31.264640",121.591590,31.264640,2022-04-03,上海市博兴路916弄
35,中国,上海市,021,上海市,浦东新区,"121.591557,31.264613",121.591557,31.264613,2022-04-03,上海市博兴路986弄
36,中国,上海市,021,上海市,浦东新区,"121.757992,31.199742",121.757992,31.199742,2022-04-03,上海市蔡路村包家宅
37,中国,上海市,021,上海市,浦东新区,"121.667039,31.278414",121.667039,31.278414,2022-04-03,上海市曹路镇北邵家宅
38,中国,上海市,021,上海市,浦东新区,"121.667039,31.278414",121.667039,31.278414,2022-04-03,上海市曹路镇杜家宅
39,中国,上海市,021,上海市,浦东新区,"121.653005,31.286902",121.653005,31.286902,2022-04-03,上海市曹路镇沙桥宅
40,中国,上海市,021,上海市,浦东新区,"121.591517,31.261139",121.591517,31.261139,2022-04-03,上海市长岛路1201弄
41,中国,上海市,021,上海市,浦东新区,"121.592506,31.262601",121.592506,31.262601,2022-04-03,上海市长岛路1203弄
42,中国,上海市,021,上海市,浦东新区,"121.594192,31.262167",121.594192,31.262167,2022-04-03,上海市长岛路1267弄
43,中国,上海市,021,上海市,浦东新区,"121.596638,31.262163",121.596638,31.262163,2022-04-03,上海市长岛路1338弄
44,中国,上海市,021,上海市,浦东新区,"121.597602,31.263198",121.597602,31.263198,2022-04-03,上海市长岛路1398弄
45,中国,上海市,021,上海市,浦东新区,"121.577598,31.266108",121.577598,31.266108,2022-04-03,上海市长岛路259弄
46,中国,上海市,021,上海市,浦东新区,"121.582240,31.259839",121.582240,31.259839,2022-04-03,上海市长岛路588弄
47,中国,上海市,021,上海市,浦东新区,"121.587874,31.259220",121.587874,31.259220,2022-04-03,上海市长岛路800弄
48,中国,上海市,021,上海市,浦东新区,"121.588783,31.260523",121.588783,31.260523,2022-04-03,上海市长岛路825弄
49,中国,上海市,021,上海市,浦东新区,"121.580918,31.267719",121.580918,31.267719,2022-04-03,上海市长岛路85弄
50,中国,上海市,021,上海市,崇明区,"121.577931,31.267405",121.577931,31.267405,2022-04-03,上海市长岛路99号
51,中国,上海市,021,上海市,浦东新区,"121.674519,31.182775",121.674519,31.182775,2022-04-03,上海市长丰村4队
52,中国,上海市,021,上海市,浦东新区,"121.508756,31.174396",121.508756,31.174396,2022-04-03,上海市昌里东路190弄
53,中国,上海市,021,上海市,浦东新区,"121.515384,31.179063",121.515384,31.179063,2022-04-03,上海市昌里东路550弄
54,中国,上海市,021,上海市,浦东新区,"121.515789,31.179524",121.515789,31.179524,2022-04-03,上海市昌里东路650弄
55,中国,上海市,021,上海市,浦东新区,"121.504910,31.177314",121.504910,31.177314,2022-04-03,上海市昌里东路71弄
56,中国,上海市,021,上海市,浦东新区,"121.506037,31.175808",121.506037,31.175808,2022-04-03,上海市昌里东路80弄
57,中国,上海市,021,上海市,浦东新区,"121.491933,31.173465",121.491933,31.173465,2022-04-03,上海市昌里路340弄
58,中国,上海市,021,上海市,浦东新区,"121.504961,31.175397",121.504961,31.175397,2022-04-03,上海市昌里路80弄
59,中国,上海市,021,上海市,浦东新区,"121.502306,31.175320",121.502306,31.175320,2022-04-03,上海市昌里路98弄
60,中国,上海市,021,上海市,浦东新区,"121.513504,31.241151",121.513504,31.241151,2022-04-03,上海市昌邑路55弄
61,中国,上海市,021,上海市,金山区,"121.370470,30.817981",121.370470,30.817981,2022-04-03,上海市朝阳村胡家宅
62,中国,上海市,021,上海市,浦东新区,"121.853293,30.877330",121.853293,30.877330,2022-04-03,上海市潮乐路8弄
63,中国,上海市,021,上海市,浦东新区,"121.596555,31.076109",121.596555,31.076109,2022-04-03,上海市沉香村白墙六队
64,中国,上海市,021,上海市,浦东新区,"121.559845,31.174806",121.559845,31.174806,2022-04-03,上海市陈春东路88弄
65,中国,上海市,021,上海市,浦东新区,"121.546478,31.173033",121.546478,31.173033,2022-04-03,上海市陈春路620弄
66,中国,上海市,021,上海市,浦东新区,"121.680159,31.166252",121.680159,31.166252,2022-04-03,上海市陈胡村王家宅
67,中国,上海市,021,上海市,浦东新区,"121.691094,31.144600",121.691094,31.144600,2022-04-03,上海市陈桥村
68,中国,上海市,021,上海市,宝山区,"121.379208,31.444927",121.379208,31.444927,2022-04-03,上海市陈行村六队西陈家宅
69,中国,上海市,021,上海市,浦东新区,"121.535673,31.175607",121.535673,31.175607,2022-04-03,上海市成山路2008弄
70,中国,上海市,021,上海市,浦东新区,"121.500130,31.170498",121.500130,31.170498,2022-04-03,上海市成山路278弄
71,中国,上海市,021,上海市,浦东新区,"121.502996,31.170680",121.502996,31.170680,2022-04-03,上海市成山路300弄
72,中国,上海市,021,上海市,浦东新区,"121.510690,31.169837",121.510690,31.169837,2022-04-03,上海市成山路648弄
73,中国,上海市,021,上海市,浦东新区,"121.513213,31.170490",121.513213,31.170490,2022-04-03,上海市成山路668弄
74,中国,上海市,021,上海市,浦东新区,"121.515803,31.173577",121.515803,31.173577,2022-04-03,上海市成山路963弄
75,中国,上海市,021,上海市,浦东新区,"121.687280,31.189980",121.687280,31.189980,2022-04-03,上海市城丰路143弄
76,中国,上海市,021,上海市,浦东新区,"121.685690,31.191343",121.685690,31.191343,2022-04-03,上海市城丰路212弄
77,中国,上海市,021,上海市,浦东新区,"121.683738,31.191046",121.683738,31.191046,2022-04-03,上海市城丰路288弄
78,中国,上海市,021,上海市,浦东新区,"121.679320,31.186963",121.679320,31.186963,2022-04-03,上海市城丰路599弄
79,中国,上海市,021,上海市,浦东新区,"121.688450,31.191991",121.688450,31.191991,2022-04-03,上海市城丰路70弄
80,中国,上海市,021,上海市,浦东新区,"121.743642,31.041318",121.743642,31.041318,2022-04-03,上海市城南路41弄
81,中国,上海市,021,上海市,浦东新区,"121.693571,31.195017",121.693571,31.195017,2022-04-03,上海市城西路195弄
82,中国,上海市,021,上海市,松江区,"121.284632,31.115536",121.284632,31.115536,2022-04-03,上海市城西路377弄
83,中国,上海市,021,上海市,浦东新区,"121.693997,31.184181",121.693997,31.184181,2022-04-03,上海市川环南路1049弄
84,中国,上海市,021,上海市,浦东新区,"121.706635,31.188480",121.706635,31.188480,2022-04-03,上海市川环南路345弄
85,中国,上海市,021,上海市,浦东新区,"121.681538,31.254586",121.681538,31.254586,2022-04-03,上海市川沙路1666弄
86,中国,上海市,021,上海市,浦东新区,"121.689200,31.222326",121.689200,31.222326,2022-04-03,上海市川沙路2301弄
87,中国,上海市,021,上海市,浦东新区,"121.669854,31.279098",121.669854,31.279098,2022-04-03,上海市川沙路389弄
88,中国,上海市,021,上海市,浦东新区,"121.691843,31.209470",121.691843,31.209470,2022-04-03,上海市川沙路4000号
89,中国,上海市,021,上海市,浦东新区,"121.697148,31.190217",121.697148,31.190217,2022-04-03,上海市川沙路5122弄
90,中国,上海市,021,上海市,浦东新区,"121.576303,31.184603",121.576303,31.184603,2022-04-03,上海市川沙镇姚家宅
91,中国,上海市,021,上海市,浦东新区,"121.616951,31.143307",121.616951,31.143307,2022-04-03,上海市川周公路2828弄
92,中国,上海市,021,上海市,浦东新区,"121.611674,31.140808",121.611674,31.140808,2022-04-03,上海市川周公路3038弄
93,中国,上海市,021,上海市,浦东新区,"121.584888,31.125545",121.584888,31.125545,2022-04-03,上海市川周公路4058弄
94,中国,上海市,021,上海市,浦东新区,"121.581043,31.120704",121.581043,31.120704,2022-04-03,上海市川周公路4318弄
95,中国,上海市,021,上海市,浦东新区,"121.707483,31.185866",121.707483,31.185866,2022-04-03,上海市川周路8828弄
96,中国,上海市,021,上海市,浦东新区,"121.758153,31.115899",121.758153,31.115899,2022-04-03,上海市创新路21弄
97,中国,上海市,021,上海市,浦东新区,"121.656949,31.204164",121.656949,31.204164,2022-04-03,上海市创新西路28弄
98,中国,上海市,021,上海市,浦东新区,"121.656396,31.203066",121.656396,31.203066,2022-04-03,上海市创新西路75弄
99,中国,上海市,021,上海市,浦东新区,"121.637890,31.195911",121.637890,31.195911,2022-04-03,上海市创新西路960号
100,中国,上海市,021,上海市,浦东新区,"121.662016,31.207349",121.662016,31.207349,2022-04-03,上海市创新中路199弄
101,中国,上海市,021,上海市,浦东新区,"121.670989,31.210289",121.670989,31.210289,2022-04-03,上海市创新中路593弄
102,中国,上海市,021,上海市,浦东新区,"121.696919,31.215225",121.696919,31.215225,2022-04-03,上海市创业路798号
