country,province,citycode,city,district,location,long,lat,date,address
中国,上海市,021,上海市,浦东新区,"121.568585,31.342882",121.568585,31.342882,2022-04-07,上海市八灶村顾家宅
中国,上海市,021,上海市,浦东新区,"121.500893,31.189446",121.500893,31.189446,2022-04-07,上海市白莲泾路国展路交界口工地生活区
中国,上海市,021,上海市,浦东新区,"121.596044,31.068852",121.596044,31.068852,2022-04-07,上海市白墙村
中国,上海市,021,上海市,浦东新区,"121.616580,31.141322",121.616580,31.141322,2022-04-07,上海市百龙新村
中国,上海市,021,上海市,奉贤区,"121.526077,30.962523",121.526077,30.962523,2022-04-07,上海市百曲村
中国,上海市,021,上海市,浦东新区,"121.505791,31.161574",121.505791,31.161574,2022-04-07,上海市板泉路1201弄
中国,上海市,021,上海市,浦东新区,"121.532012,31.165295",121.532012,31.165295,2022-04-07,上海市板泉路2000弄
中国,上海市,021,上海市,浦东新区,"121.494644,31.158141",121.494644,31.158141,2022-04-07,上海市板泉路50号
中国,上海市,021,上海市,浦东新区,"121.534223,31.182488",121.534223,31.182488,2022-04-07,上海市北艾路1077弄
中国,上海市,021,上海市,浦东新区,"121.533919,31.182783",121.533919,31.182783,2022-04-07,上海市北艾路1200弄
中国,上海市,021,上海市,浦东新区,"121.524025,31.180639",121.524025,31.180639,2022-04-07,上海市北艾路1660弄
中国,上海市,021,上海市,浦东新区,"121.536454,31.185412",121.536454,31.185412,2022-04-07,上海市北艾路862弄
中国,上海市,021,上海市,浦东新区,"121.537211,31.183102",121.537211,31.183102,2022-04-07,上海市北艾路901弄
中国,上海市,021,上海市,浦东新区,"121.609684,31.181050",121.609684,31.181050,2022-04-07,上海市北蔡村丁家宅
中国,上海市,021,上海市,嘉定区,"121.258821,31.466924",121.258821,31.466924,2022-04-07,上海市北新村
中国,上海市,021,上海市,浦东新区,"121.520914,31.215884",121.520914,31.215884,2022-04-07,上海市北张家浜路58号
中国,上海市,021,上海市,浦东新区,"121.558886,31.183073",121.558886,31.183073,2022-04-07,上海市北中路328弄
中国,上海市,021,上海市,浦东新区,"121.560231,31.184252",121.560231,31.184252,2022-04-07,上海市北中路383弄
中国,上海市,021,上海市,浦东新区,"121.657244,31.093989",121.657244,31.093989,2022-04-07,上海市北庄村
中国,上海市,021,上海市,浦东新区,"121.576989,31.236905",121.576989,31.236905,2022-04-07,上海市碧云路333弄
中国,上海市,021,上海市,浦东新区,"121.551099,31.170366",121.551099,31.170366,2022-04-07,上海市博华路1018弄
中国,上海市,021,上海市,浦东新区,"121.550815,31.170548",121.550815,31.170548,2022-04-07,上海市博华路999弄
中国,上海市,021,上海市,浦东新区,"121.565109,31.248225",121.565109,31.248225,2022-04-07,上海市博山东路136弄
中国,上海市,021,上海市,浦东新区,"121.559620,31.247532",121.559620,31.247532,2022-04-07,上海市博山东路41弄
中国,上海市,021,上海市,浦东新区,"121.567987,31.251915",121.567987,31.251915,2022-04-07,上海市博山东路440弄
中国,上海市,021,上海市,浦东新区,"121.568510,31.253144",121.568510,31.253144,2022-04-07,上海市博山东路459弄
中国,上海市,021,上海市,浦东新区,"121.572168,31.255416",121.572168,31.255416,2022-04-07,上海市博山东路555弄
中国,上海市,021,上海市,浦东新区,"121.575880,31.259374",121.575880,31.259374,2022-04-07,上海市博山东路811弄
中国,上海市,021,上海市,浦东新区,"121.559010,31.244754",121.559010,31.244754,2022-04-07,上海市博山路11弄
中国,上海市,021,上海市,浦东新区,"121.555941,31.246540",121.555941,31.246540,2022-04-07,上海市博山路12弄
中国,上海市,021,上海市,浦东新区,"121.554692,31.244283",121.554692,31.244283,2022-04-07,上海市博山路199弄
中国,上海市,021,上海市,浦东新区,"121.554692,31.244283",121.554692,31.244283,2022-04-07,上海市博山路462弄
中国,上海市,021,上海市,浦东新区,"121.557138,31.246021",121.557138,31.246021,2022-04-07,上海市博山路50弄
中国,上海市,021,上海市,浦东新区,"121.557061,31.245301",121.557061,31.245301,2022-04-07,上海市博山路51弄
中国,上海市,021,上海市,浦东新区,"121.555247,31.244982",121.555247,31.244982,2022-04-07,上海市博山路78弄
中国,上海市,021,上海市,浦东新区,"121.603621,31.276550",121.603621,31.276550,2022-04-07,上海市博兴路1676弄
中国,上海市,021,上海市,浦东新区,"121.601702,31.277120",121.601702,31.277120,2022-04-07,上海市博兴路1768弄
中国,上海市,021,上海市,浦东新区,"121.578757,31.269007",121.578757,31.269007,2022-04-07,上海市博兴路250弄
中国,上海市,021,上海市,浦东新区,"121.581417,31.267917",121.581417,31.267917,2022-04-07,上海市博兴路341弄
中国,上海市,021,上海市,浦东新区,"121.581597,31.265408",121.581597,31.265408,2022-04-07,上海市博兴路462弄
中国,上海市,021,上海市,浦东新区,"121.583688,31.267381",121.583688,31.267381,2022-04-07,上海市博兴路465弄
中国,上海市,021,上海市,浦东新区,"121.584480,31.263629",121.584480,31.263629,2022-04-07,上海市博兴路616弄
中国,上海市,021,上海市,浦东新区,"121.589234,31.263305",121.589234,31.263305,2022-04-07,上海市博兴路760弄
中国,上海市,021,上海市,浦东新区,"121.591557,31.264613",121.591557,31.264613,2022-04-07,上海市博兴路986弄
中国,上海市,021,上海市,浦东新区,"121.804020,30.897900",121.804020,30.897900,2022-04-07,上海市彩云路717弄
中国,上海市,021,上海市,浦东新区,"121.515970,31.363539",121.515970,31.363539,2022-04-07,上海市仓房村仓房港
中国,上海市,021,上海市,浦东新区,"121.730930,31.249370",121.730930,31.249370,2022-04-07,上海市曹路镇徐家宅
中国,上海市,021,上海市,浦东新区,"121.669218,31.259167",121.669218,31.259167,2022-04-07,上海市曹路镇杨薛家宅
中国,上海市,021,上海市,浦东新区,"121.562732,31.351711",121.562732,31.351711,2022-04-07,上海市草高支路1118弄
中国,上海市,021,上海市,浦东新区,"121.573699,31.351540",121.573699,31.351540,2022-04-07,上海市草高支路168弄
中国,上海市,021,上海市,浦东新区,"121.582086,31.351840",121.582086,31.351840,2022-04-07,上海市草高支路170弄
中国,上海市,021,上海市,浦东新区,"121.571033,31.351827",121.571033,31.351827,2022-04-07,上海市草高支路766弄
中国,上海市,021,上海市,浦东新区,"121.566894,31.351267",121.566894,31.351267,2022-04-07,上海市草高支路938弄
中国,上海市,021,上海市,浦东新区,"121.726110,31.181030",121.726110,31.181030,2022-04-07,上海市柴场村
中国,上海市,021,上海市,宝山区,"121.409774,31.364003",121.409774,31.364003,2022-04-07,上海市长浜村
中国,上海市,021,上海市,浦东新区,"121.590004,31.259874",121.590004,31.259874,2022-04-07,上海市长岛路1066弄
中国,上海市,021,上海市,浦东新区,"121.591517,31.261139",121.591517,31.261139,2022-04-07,上海市长岛路1201弄
中国,上海市,021,上海市,浦东新区,"121.592506,31.262601",121.592506,31.262601,2022-04-07,上海市长岛路1203弄
中国,上海市,021,上海市,浦东新区,"121.594192,31.262167",121.594192,31.262167,2022-04-07,上海市长岛路1267弄
中国,上海市,021,上海市,浦东新区,"121.594531,31.259736",121.594531,31.259736,2022-04-07,上海市长岛路1280弄
中国,上海市,021,上海市,浦东新区,"121.597602,31.263198",121.597602,31.263198,2022-04-07,上海市长岛路1398弄
中国,上海市,021,上海市,浦东新区,"121.600996,31.264129",121.600996,31.264129,2022-04-07,上海市长岛路1560弄
中国,上海市,021,上海市,浦东新区,"121.577598,31.266108",121.577598,31.266108,2022-04-07,上海市长岛路259弄
中国,上海市,021,上海市,浦东新区,"121.584265,31.260807",121.584265,31.260807,2022-04-07,上海市长岛路625弄
中国,上海市,021,上海市,浦东新区,"121.585826,31.258312",121.585826,31.258312,2022-04-07,上海市长岛路728弄
中国,上海市,021,上海市,浦东新区,"121.588783,31.260523",121.588783,31.260523,2022-04-07,上海市长岛路825弄
中国,上海市,021,上海市,浦东新区,"121.580918,31.267719",121.580918,31.267719,2022-04-07,上海市长岛路85弄
中国,上海市,021,上海市,崇明区,"121.577931,31.267405",121.577931,31.267405,2022-04-07,上海市长岛路99号
中国,上海市,021,上海市,浦东新区,"121.565209,31.176723",121.565209,31.176723,2022-04-07,上海市长丰村陈家宅
中国,上海市,021,上海市,浦东新区,"121.680159,31.166252",121.680159,31.166252,2022-04-07,上海市长丰村王家宅
中国,上海市,021,上海市,浦东新区,"121.492273,31.157199",121.492273,31.157199,2022-04-07,上海市长清路643弄
中国,上海市,021,上海市,浦东新区,"121.491042,31.157702",121.491042,31.157702,2022-04-07,上海市长清路693弄
中国,上海市,021,上海市,浦东新区,"121.492920,31.154750",121.492920,31.154750,2022-04-07,上海市长清路807弄
中国,上海市,021,上海市,浦东新区,"121.797501,31.083257",121.797501,31.083257,2022-04-07,上海市长兴村
中国,上海市,021,上海市,金山区,"121.392463,30.750729",121.392463,30.750729,2022-04-07,上海市长元村曹家宅
中国,上海市,021,上海市,浦东新区,"121.568585,31.342882",121.568585,31.342882,2022-04-07,上海市长元村顾家宅
中国,上海市,021,上海市,浦东新区,"121.508756,31.174396",121.508756,31.174396,2022-04-07,上海市昌里东路190弄
中国,上海市,021,上海市,浦东新区,"121.510473,31.177139",121.510473,31.177139,2022-04-07,上海市昌里东路333弄
中国,上海市,021,上海市,浦东新区,"121.515789,31.179524",121.515789,31.179524,2022-04-07,上海市昌里东路650弄
中国,上海市,021,上海市,浦东新区,"121.516513,31.181114",121.516513,31.181114,2022-04-07,上海市昌里东路675弄
中国,上海市,021,上海市,浦东新区,"121.504910,31.177314",121.504910,31.177314,2022-04-07,上海市昌里东路71弄
中国,上海市,021,上海市,浦东新区,"121.506037,31.175808",121.506037,31.175808,2022-04-07,上海市昌里东路80弄
中国,上海市,021,上海市,浦东新区,"121.497353,31.175648",121.497353,31.175648,2022-04-07,上海市昌里路167弄
中国,上海市,021,上海市,浦东新区,"121.491933,31.173465",121.491933,31.173465,2022-04-07,上海市昌里路340弄
中国,上海市,021,上海市,浦东新区,"121.501119,31.177428",121.501119,31.177428,2022-04-07,上海市昌里路93弄
中国,上海市,021,上海市,浦东新区,"121.502306,31.175320",121.502306,31.175320,2022-04-07,上海市昌里路98弄
中国,上海市,021,上海市,浦东新区,"121.835936,31.097051",121.835936,31.097051,2022-04-07,上海市朝农新村
中国,上海市,021,上海市,奉贤区,"121.510387,30.903094",121.510387,30.903094,2022-04-07,上海市朝阳新村
中国,上海市,021,上海市,浦东新区,"121.742044,30.976559",121.742044,30.976559,2022-04-07,上海市车站村
中国,上海市,021,上海市,浦东新区,"121.546478,31.173033",121.546478,31.173033,2022-04-07,上海市陈春路620弄
中国,上海市,021,上海市,浦东新区,"121.769073,31.194157",121.769073,31.194157,2022-04-07,上海市陈胡村
中国,上海市,021,上海市,崇明区,"121.833234,31.484321",121.833234,31.484321,2022-04-07,上海市陈桥村郭家宅
中国,上海市,021,上海市,宝山区,"121.344173,31.478502",121.344173,31.478502,2022-04-07,上海市陈行村
中国,上海市,021,上海市,浦东新区,"121.597573,31.200346",121.597573,31.200346,2022-04-07,上海市晨晖路828弄
中国,上海市,021,上海市,浦东新区,"121.736696,31.169511",121.736696,31.169511,2022-04-07,上海市晨阳西路150弄
中国,上海市,021,上海市,浦东新区,"121.811764,31.060951",121.811764,31.060951,2022-04-07,上海市成日村
中国,上海市,021,上海市,浦东新区,"121.488292,31.170642",121.488292,31.170642,2022-04-07,上海市成山路1066弄
中国,上海市,021,上海市,浦东新区,"121.529212,31.176689",121.529212,31.176689,2022-04-07,上海市成山路1728弄
中国,上海市,021,上海市,浦东新区,"121.497932,31.171251",121.497932,31.171251,2022-04-07,上海市成山路248弄
中国,上海市,021,上海市,浦东新区,"121.487151,31.167477",121.487151,31.167477,2022-04-07,上海市成山路24弄
中国,上海市,021,上海市,浦东新区,"121.500130,31.170498",121.500130,31.170498,2022-04-07,上海市成山路278弄
